reqid,component,project,fulltext
REG-004,Regulator,LM_requirements,"Regulator shall never satisfy persisted(100,xcvdt_cmd_fcs_fps2 > 32.0)"
REG-001,Regulator,LM_requirements,"Regulator shall never satisfy persisted(100,lcvdt_cmd_fcs_dps2 > 50.0) "
REG-006,Regulator,LM_requirements,Regulator shall always satisfy roll_command_acceleration <= 50.0
REG-005,Regulator,LM_requirements,"Regulator shall never satisfy persisted(100,hcvdt_cmd_fcs_fps2 > 32.0)"
REG-007,Regulator,LM_requirements,Regulator shall always satisfy pitch_command_acceleration <= 50.0
REG-008,Regulator,LM_requirements,Regulator shall always satisfy yaw_command_acceleration <= 50.0
REG-009,Regulator,LM_requirements,Regulator shall always satisfy airspeed_command_acceleration <= 32.0
REG-010,Regulator,LM_requirements,Regulator shall always satisfy height_command_acceleration <= 32.0
REG-002,Regulator,LM_requirements,"Regulator shall never satisfy persisted(100,mcvdt_cmd_fcs_dps2 > 50.0) "
REG-003,Regulator,LM_requirements,"Regulator shall never satisfy persisted(100,ncvdt_cmd_fcs_dps2 > 50.0) "
